nome;email;telefone;data_cadastro
Ana Souza;ana.souza1@email.com;21988880001;2024-01-10
Bruno Lima;bruno.lima@email.com;21988880002;2024-01-11
Carla Mendes;carla.mendes@email.com;21988880003;2024-01-12
Daniel Rocha;daniel.rocha@email.com;21988880004;2024-01-13
Eduarda Faria;eduarda.faria@email.com;21988880005;2024-01-14
Felipe Santos;felipe.santos@email.com;21988880006;2024-01-15
Gabriela Nunes;gabriela.nunes@email.com;21988880007;2024-01-16
Henrique Alves;henrique.alves@email.com;21988880008;2024-01-17
Isabela Martins;isabela.martins@email.com;21988880009;2024-01-18
João Pedro;jp.souza@email.com;21988880010;2024-01-19
Karina Oliveira;karina.oliveira@email.com;21988880011;2024-01-20
Lucas Ferreira;lucas.ferreira@email.com;21988880012;2024-01-21
Mariana Costa;mariana.costa@email.com;21988880013;2024-01-22
Natália Ramos;natalia.ramos@email.com;21988880014;2024-01-23
Otávio Azevedo;otavio.azevedo@email.com;21988880015;2024-01-24
Patrícia Moraes;patricia.moraes@email.com;21988880016;2024-01-25
Rafael Teixeira;rafael.teixeira@email.com;21988880017;2024-01-26
Sabrina Vidal;sabrina.vidal@email.com;21988880018;2024-01-27
Thiago Barros;thiago.barros@email.com;21988880019;2024-01-28
Viviane Lopes;viviane.lopes@email.com;21988880020;2024-01-29
